iter	Passed	Remaining
783	8163	2249
784	8173	2238
785	8185	2228
786	8197	2218
787	8208	2208
788	8218	2197
789	8226	2186
790	8237	2176
791	8246	2165
792	8256	2155
793	8265	2144
794	8275	2133
795	8285	2123
796	8293	2112
797	8302	2101
798	8310	2090
799	8319	2079
800	8327	2068
801	8338	2058
802	8348	2048
803	8358	2037
804	8366	2026
805	8376	2016
806	8386	2005
807	8395	1995
808	8404	1984
809	8412	1973
810	8421	1962
811	8429	1951
812	8439	1941
813	8447	1930
814	8457	1919
815	8465	1908
816	8474	1898
817	8482	1887
818	8493	1877
819	8504	1866
820	8513	1856
821	8524	1845
822	8535	1835
823	8545	1825
824	8556	1814
825	8564	1804
826	8574	1793
827	8584	1783
828	8593	1772
829	8603	1762
830	8612	1751
831	8620	1740
832	8629	1730
833	8637	1719
834	8645	1708
835	8654	1697
836	8662	1687
837	8672	1676
838	8680	1665
839	8689	1655
840	8698	1644
841	8708	1634
842	8715	1623
843	8723	1612
844	8732	1601
845	8739	1590
846	8749	1580
847	8756	1569
848	8765	1559
849	8773	1548
850	8781	1537
851	8789	1526
852	8798	1516
853	8806	1505
854	8813	1494
855	8821	1483
856	8830	1473
857	8838	1462
858	8846	1452
859	8855	1441
860	8865	1431
861	8874	1420
862	8883	1410
863	8893	1399
864	8903	1389
865	8914	1379
866	8924	1369
867	8933	1358
868	8944	1348
869	8953	1337
870	8963	1327
871	8972	1317
872	8983	1306
873	8992	1296
874	9003	1286
875	9016	1276
876	9029	1266
877	9038	1255
878	9048	1245
879	9060	1235
880	9070	1225
881	9082	1215
882	9092	1204
883	9103	1194
884	9125	1185
885	9133	1175
886	9143	1164
887	9151	1154
888	9161	1143
889	9170	1133
890	9179	1123
891	9189	1112
892	9198	1102
893	9207	1091
894	9216	1081
895	9224	1070
896	9232	1060
897	9241	1049
898	9249	1039
899	9258	1028
900	9267	1018
901	9276	1007
902	9284	997
903	9293	986
904	9303	976
905	9310	965
906	9318	955
907	9326	944
908	9334	934
909	9342	923
910	9349	913
911	9357	902
912	9365	892
913	9373	881
914	9380	871
915	9389	861
916	9399	850
917	9406	840
918	9414	829
919	9423	819
920	9432	809
921	9441	798
922	9450	788
923	9460	778
924	9469	767
925	9480	757
926	9490	747
927	9499	737
928	9510	726
929	9522	716
930	9532	706
931	9545	696
932	9558	686
933	9568	676
934	9578	665
935	9589	655
936	9599	645
937	9610	635
938	9620	624
939	9631	614
940	9641	604
941	9652	594
942	9661	584
943	9670	573
944	9678	563
945	9687	552
946	9695	542
947	9702	532
948	9713	522
949	9722	511
950	9732	501
951	9740	491
952	9750	480
953	9758	470
954	9767	460
955	9775	449
956	9782	439
957	9791	429
958	9799	418
959	9807	408
960	9816	398
961	9824	388
962	9832	377
963	9841	367
964	9851	357
965	9860	347
966	9870	336
967	9881	326
968	9893	316
969	9903	306
970	9914	296
971	9925	285
972	9935	275
973	9945	265
974	9956	255
975	9969	245
976	9980	234
977	9995	224
978	10008	214
979	10025	204
980	10037	194
981	10065	184
982	10077	174
983	10088	164
984	10097	153
985	10107	143
986	10116	133
987	10126	122
988	10134	112
989	10143	102
990	10151	92
991	10160	81
992	10168	71
993	10177	61
994	10185	51
995	10192	40
996	10202	30
997	10210	20
998	10219	10
999	10228	0
